Name,Size,fs url,fd url,jl url,ps url
1 Million EDT,100,https://www.thefragranceshop.co.uk/paco-rabanne/1-million-for-men/eau-de-toilette-spray/p/10916,https://www.fragrancedirect.co.uk/paco-rabanne-1-million-for-men-eau-de-toilette-100ml-0015833.html?cgid=paco-rabanne-1-million#searchPath=searchpEnd,https://www.johnlewis.com/paco-rabanne-1-million-eau-de-toilette/p4810647?size=100ml,https://www.theperfumeshop.com/paco-rabanne/1-million/eau-de-toilette-for-him/p/75870EDTJU
1 Million EDT,200,https://www.thefragranceshop.co.uk/paco-rabanne/1-million-for-men/eau-de-toilette-spray/p/13788,https://www.fragrancedirect.co.uk/paco-rabanne-1-million-for-men-eau-de-toilette-200ml-0026768.html?cgid=paco-rabanne-1-million#searchPath=searchpEnd,https://www.johnlewis.com/paco-rabanne-1-million-eau-de-toilette/p4810647?size=200ml,https://www.theperfumeshop.com/paco-rabanne/1-million/eau-de-toilette-for-him/p/75870EDTJU
Acqua Di Gio Profumo ,75,https://www.thefragranceshop.co.uk/armani/acqua-de-gio-homme-profumo/eau-de-parfum-spray/p/26093,https://www.fragrancedirect.co.uk/giorgio-armani-acqua-di-gio-profumo-eau-de-parfum-spray-75ml-0060951.html#q=profumo&lang=default&start=2,https://www.johnlewis.com/giorgio-armani-acqua-di-gio-homme-profumo-eau-de-parfum/p1921153?size=75ml,https://www.theperfumeshop.com/armani/acqua-di-gio-profumo/eau-de-parfum-for-him/p/73280EDPJU
Acqua Di Gio Profumo ,125,https://www.thefragranceshop.co.uk/armani/acqua-de-gio-homme-profumo/eau-de-parfum-spray/p/27614,https://www.fragrancedirect.co.uk/giorgio-armani-acqua-di-gio-profumo-natural-spray-125ml-0067999.html#q=profumo&lang=default&start=3,,https://www.theperfumeshop.com/armani/acqua-di-gio-profumo/eau-de-parfum-for-him/p/73280EDPJU
Amouage Reflection Man,50,https://www.thefragranceshop.co.uk/amouage/reflection-man/eau-de-parfum-spray/p/23215,,,
Bad Boy,50,https://www.thefragranceshop.co.uk/carolina-herrera/bad-boy/eau-de-toilette-spray/p/49677,https://www.fragrancedirect.co.uk/carolina-herrera-bad-boy-eau-de-toilette-spray-50ml-01098290002.html?cgid=carolina-herrera-bad-boy#searchPath=searchpEnd,https://www.johnlewis.com/carolina-herrera-bad-boy-eau-de-toilette/p4891013?size=50ml,https://www.theperfumeshop.com/carolina-herrera/bad-boy/eau-de-toilette-for-him/p/74920EDTJU
Bleu de Chanel EDP,50,https://www.thefragranceshop.co.uk/chanel/bleu-de-chanel/eau-de-parfum-spray/p/24121,,https://www.johnlewis.com/chanel-bleu-de-chanel-eau-de-parfum-spray/p1705370?size=50ml,https://www.theperfumeshop.com/chanel/bleu-de-chanel/eau-de-parfum-spray/p/64060EDPJU
Dior Sauvage EDT,60,https://www.thefragranceshop.co.uk/dior/sauvage/eau-de-toilette-spray/p/27426,,https://www.johnlewis.com/dior-sauvage-spray-eau-de-toilette/p2095366?size=60ml,https://www.theperfumeshop.com/dior/sauvage/eau-de-toilette-for-him/p/65330EDTJU
Dior Sauvage EDT,100,https://www.thefragranceshop.co.uk/dior/sauvage/eau-de-toilette-spray/p/27427,,https://www.johnlewis.com/dior-sauvage-spray-eau-de-toilette/p2095366?size=100ml,https://www.theperfumeshop.com/dior/sauvage/eau-de-toilette-for-him/p/65330EDTJU
Dior Sauvage EDP,60,https://www.thefragranceshop.co.uk/dior/sauvage/eau-de-parfum-spray/p/40251,,https://www.johnlewis.com/dior-sauvage-eau-de-parfum/p3421339?size=60ml,https://www.theperfumeshop.com/dior/sauvage/eau-de-parfum-for-him/p/65330EDPJU
Dior Sauvage EDP,100,https://www.thefragranceshop.co.uk/dior/sauvage/eau-de-parfum-spray/p/40252,,https://www.johnlewis.com/dior-sauvage-eau-de-parfum/p3421339?size=100ml,https://www.theperfumeshop.com/dior/sauvage/eau-de-parfum-for-him/p/65330EDPJU
Dylan Blue,50,https://www.thefragranceshop.co.uk/versace/dylan-blue/eau-de-toilette-spray/p/30683,https://www.fragrancedirect.co.uk/versace-pour-homme-dylan-blue-eau-de-toilette-50ml-0085401.html#q=Dylan&lang=default&start=3,https://www.johnlewis.com/versace-pour-homme-dylan-blue-eau-de-toilette/p2873490?size=50ml,https://www.theperfumeshop.com/versace/dylan-blue/eau-de-toilette-for-him/p/62260EDTJU
Dylan Blue,100,https://www.thefragranceshop.co.uk/versace/dylan-blue/eau-de-toilette-spray/p/30684,,https://www.johnlewis.com/versace-pour-homme-dylan-blue-eau-de-toilette/p2873490?size=100ml,https://www.theperfumeshop.com/versace/dylan-blue/eau-de-toilette-for-him/p/62260EDTJU
Dylan Blue,200,,https://www.fragrancedirect.co.uk/versace-pour-homme-dylan-blue-eau-de-toilette-200ml-0085403.html?cgid=versace-dylan-blue#searchPath=searchpEnd,,https://www.theperfumeshop.com/versace/dylan-blue/eau-de-toilette-for-him/p/62260EDTJU
Floriental EDP,50,,https://www.fragrancedirect.co.uk/comme-des-garcons-floriental-eau-de-parfum-50ml-0092450.html#q=comme&lang=default&start=11,https://www.johnlewis.com/comme-des-garcons-floriental-eau-de-parfum/p3181889?size=50ml,https://www.theperfumeshop.com/comme-des-garcons/floriental/eau-de-parfum/p/77604EDPJU
Floriental EDP,100,,https://www.fragrancedirect.co.uk/comme-des-garcons-floriental-eau-de-parfum-100ml-0092449.html#q=comme&lang=default&start=10,https://www.johnlewis.com/comme-des-garcons-floriental-eau-de-parfum/p3181889?size=100ml,https://www.theperfumeshop.com/comme-des-garcons/floriental/eau-de-parfum/p/77604EDPJU
Invictus EDT,50,https://www.thefragranceshop.co.uk/paco-rabanne/invictus/eau-de-toilette-spray/p/20195,https://www.fragrancedirect.co.uk/paco-rabanne-invictus-for-men-eau-de-toilette-50ml-0047833.html?cgid=paco-rabanne-invictus#searchPath=searchpEnd,,https://www.theperfumeshop.com/paco-rabanne/invictus/eau-de-toilette-for-him/p/75880EDTJU
Invictus EDT,100,https://www.thefragranceshop.co.uk/paco-rabanne/invictus/eau-de-toilette-spray/p/20196,https://www.fragrancedirect.co.uk/paco-rabanne-invictus-for-men-eau-de-toilette-100ml-0047837.html?cgid=paco-rabanne-invictus#searchPath=searchpEnd,https://www.johnlewis.com/paco-rabanne-invictus-eau-de-toilette/p4810624?size=100ml,https://www.theperfumeshop.com/paco-rabanne/invictus/eau-de-toilette-for-him/p/75880EDTJU
Invictus EDT,150,https://www.thefragranceshop.co.uk/paco-rabanne/invictus/eau-de-toilette-spray/p/21354,https://www.fragrancedirect.co.uk/paco-rabanne-invictus-for-men-eau-de-toilette-150ml-0052828.html?cgid=paco-rabanne-invictus#searchPath=searchpEnd,https://www.johnlewis.com/paco-rabanne-invictus-eau-de-toilette/p4810624?size=150ml,https://www.theperfumeshop.com/paco-rabanne/invictus/eau-de-toilette-for-him/p/75880EDTJU
Invicus Legend EDP,50,https://www.thefragranceshop.co.uk/paco-rabanne/invictus-legend/eau-de-parfum-spray/p/45672,https://www.fragrancedirect.co.uk/paco-rabanne-invictus-legend-eau-de-parfum-spray-50ml-01042800001.html?cgid=paco-rabanne-invictus#searchPath=searchpEnd,https://www.johnlewis.com/paco-rabanne-invictus-legend-eau-de-parfum/p4121476?size=50ml,https://www.theperfumeshop.com/paco-rabanne/invictus-legend/eau-de-parfum-for-him/p/75940EDPJU
Invicus Legend EDP,100,https://www.thefragranceshop.co.uk/paco-rabanne/invictus-legend/eau-de-parfum-spray/p/45673,https://www.fragrancedirect.co.uk/paco-rabanne-invictus-legend-eau-de-parfum-spray-100ml-01042800002.html?cgid=paco-rabanne-invictus#searchPath=searchpEnd,https://www.johnlewis.com/paco-rabanne-invictus-legend-eau-de-parfum/p4121476?size=100ml,https://www.theperfumeshop.com/paco-rabanne/invictus-legend/eau-de-parfum-for-him/p/75940EDPJU
Light Blue Intense EDP,50,https://www.thefragranceshop.co.uk/dolce-and-gabbana/light-blue-eau-intense/eau-de-parfum-spray/p/32495,https://www.fragrancedirect.co.uk/dolce-and-gabbana-light-blue-homme-eau-intense-edps-50ml-0084734.html#q=light%2Bblue%2Bintense&lang=default&start=7,https://www.johnlewis.com/dolce-gabbana-light-blue-eau-intense-pour-homme-eau-de-parfum/p3224843?size=50ml,https://www.theperfumeshop.com/dolce-gabbana/light-blue-eau-intense-pour-homme/eau-de-parfum-for-him/p/61750EDPJU
Light Blue Intense EDP,200,https://www.thefragranceshop.co.uk/dolce-and-gabbana/light-blue-eau-intense/eau-de-parfum-spray/p/32497,https://www.fragrancedirect.co.uk/dolce-and-gabbana-light-blue-homme-eau-intense-edps-200ml-0084739.html#q=light%2Bblue%2Bintense&lang=default&start=1,https://www.johnlewis.com/dolce-gabbana-light-blue-eau-intense-pour-homme-eau-de-parfum/p3224843?size=200ml,https://www.theperfumeshop.com/dolce-gabbana/light-blue-eau-intense-pour-homme/eau-de-parfum-for-him/p/61750EDPJU
Luna Rossa Carbon,50,https://www.thefragranceshop.co.uk/prada/luna-rossa-carbon/eau-de-toilette-spray/p/32663,https://www.fragrancedirect.co.uk/prada-luna-rossa-homme-carbon-eau-de-toilette-spray-50ml-0085584.html,https://www.johnlewis.com/prada-luna-rossa-carbon-eau-de-toilette/p3218521?size=50ml,https://www.theperfumeshop.com/prada/luna-rossa-carbon/eau-de-toilette-for-him/p/76380EDTJU
Mont Blanc Legend Spirit EDT,50,https://www.thefragranceshop.co.uk/montblanc/legend-spirit/eau-de-toilette-spray/p/29800,https://www.fragrancedirect.co.uk/montblanc-legend-spirit-eau-de-toilette-spray-50ml-0069579.html,https://www.johnlewis.com/montblanc-legend-spirit-eau-de-toilette/p2649568?size=50ml,https://www.theperfumeshop.com/montblanc/legend-spirit/eau-de-toilette-for-him/p/71390EDTJU
Musc Ravageur,50,,,https://www.johnlewis.com/frederic-malle-musc-ravageur-eau-de-parfum/p3485239?size=50ml,
Prada L'homme,50,https://www.thefragranceshop.co.uk/prada/prada-lhomme/eau-de-toilette-spray/p/31080,https://www.fragrancedirect.co.uk/prada-lhomme-eau-de-toilette-spray-50ml-0080888.html?cgid=prada-l-homme#searchPath=searchpEnd,https://www.johnlewis.com/prada-l'homme-eau-de-toilette/p2987211?size=50ml,https://www.theperfumeshop.com/prada/lhomme-prada/eau-de-toilette-for-him/p/76370EDTJU
